매물번호,보증금,월세,층,위도,경도,주소,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m)
47540962,100,30,2,35.8397479989824,128.753278711618,경상북도 경산시 조영동,388,69,41,233,1769,78,156
47540812,200,27,3,35.8409805199581,128.753836842393,경상북도 경산시 조영동,530,138,111,326,1876,125,10
47538072,150,28,2,35.83881818767316,128.75470667036274,경상북도 경산시 조영동,328,62,63,74,1848,116,218
47536129,200,35,2,35.8381181814194,128.752892687269,경상북도 경산시 대동,205,138,60,132,1667,48,149
47536094,100,28,2,35.8398574463648,128.751044708729,경상북도 경산시 대동,430,245,208,387,1595,108,287
47536007,200,40,2,35.8369375397417,128.752292685289,경상북도 경산시 대동,89,280,51,93,1575,108,136
47535228,200,26,4,35.8399538443085,128.759742146958,경상북도 경산시 압량읍 부적리,743,277,48,133,2318,79,73
47535035,150,33,2,35.8378024582009,128.754433967554,경상북도 경산시 조영동,221,172,14,72,1788,63,103
47535014,100,32,2,35.8395320698366,128.751068100556,경상북도 경산시 대동,396,235,173,358,1580,97,304
47534910,200,39,4,35.8407644449356,128.756654522964,경상북도 경산시 조영동,605,167,62,119,2093,75,140
47534796,200,39,3,35.8384686912828,128.757748528632,경상북도 경산시 조영동,504,305,119,97,2095,149,206
47533224,150,26,2,35.8397815652292,128.7522565321,경상북도 경산시 조영동,393,140,124,306,1688,38,203
47533131,100,26,1,35.84301041525571,128.75370557036155,경상북도 경산시 조영동,753,201,240,478,1983,132,209
47533045,100,27,2,35.840135935265444,128.7570287810217,경상북도 경산시 조영동,571,238,16,42,2096,87,98
47532970,200,35,3,35.838894794208755,128.75513775070092,경상북도 경산시 조영동,356,74,53,76,1887,105,237
47532866,200,26,2,35.8401097306666,128.756300327019,경상북도 경산시 조영동,527,178,57,91,2034,70,164
47532762,500,50,4,35.8395670517369,128.756542236264,경상북도 경산시 조영동,494,181,46,68,2032,46,162
47532728,200,31,2,35.8391661800242,128.754954929831,경상북도 경산시 조영동,373,42,86,106,1883,91,233
47532617,200,29,3,35.8394034958628,128.756597837356,경상북도 경산시 조영동,484,184,33,73,2030,33,168
47532349,200,35,1,35.8393211364746,128.7531585693364,경상북도 경산시 조영동,340,45,42,210,1740,39,204
