법정동,건축년도,전용면적,보증금,월세,계약일,노후도
조영동,2018,20.0,200,29,2025-1-1,8
대동,2011,20.0,100,21,2025-1-17,15
조영동,2021,27.0,200,30,2025-1-10,5
조영동,2015,25.0,50,28,2025-1-25,11
압량읍 부적리,2008,40.0,200,30,2025-1-3,18
조영동,2000,35.0,100,29,2025-1-27,26
대동,2013,20.0,200,23,2025-1-4,13
압량읍 부적리,2014,36.0,200,29,2025-1-24,12
임당동,2002,25.0,100,19,2025-1-23,24
대동,2012,20.0,100,25,2025-1-30,14
조영동,2000,20.0,200,29,2025-1-27,26
조영동,2015,40.0,200,30,2025-1-18,11
조영동,2009,27.0,100,28,2025-1-5,17
조영동,2015,25.0,100,28,2025-1-27,11
조영동,2013,25.0,150,28,2025-1-4,13
조영동,2009,33.0,100,29,2025-1-29,17
조영동,2012,27.0,100,20,2025-1-16,14
임당동,2000,20.0,100,21,2025-1-11,26
대동,2012,25.0,100,28,2025-1-20,14
조영동,2000,21.0,100,30,2025-1-6,26
조영동,2002,26.0,50,28,2025-1-28,24
임당동,2007,23.0,80,20,2025-1-31,19
대동,2017,27.0,200,30,2025-1-8,9
조영동,2002,20.0,150,30,2025-1-22,24
조영동,2004,20.0,200,30,2025-1-18,22
조영동,2010,20.0,100,30,2025-1-18,16
임당동,2003,20.0,70,20,2025-1-8,23
대동,2011,27.0,200,30,2025-1-27,15
압량읍 부적리,2014,20.0,200,30,2025-1-17,12
압량읍 부적리,2001,28.79,100,25,2025-1-28,25
대동,2011,24.0,200,26,2025-1-26,15
조영동,1999,25.0,300,30,2025-1-20,27
대동,2016,21.0,200,30,2025-1-10,10
대동,2012,45.0,200,40,2025-1-20,14
조영동,2015,33.0,200,30,2025-1-1,11
조영동,2012,25.55,4000,0,2025-1-13,14
조영동,2014,30.0,100,40,2025-1-9,12
조영동,2012,21.0,100,28,2025-1-23,14
조영동,2012,27.0,150,27,2025-1-17,14
조영동,2000,25.0,200,30,2025-1-21,26
대동,2011,25.0,100,30,2025-1-16,15
임당동,2008,20.0,70,21,2025-1-15,18
대동,2012,21.0,200,30,2025-1-11,14
압량읍 부적리,2019,27.0,300,30,2025-1-23,7
압량읍 부적리,2014,40.5,7000,5,2025-1-24,12
대동,2011,20.0,100,27,2025-1-13,15
대동,2013,33.0,200,35,2025-1-20,13
조영동,2001,25.0,100,29,2025-1-31,25
조영동,1999,23.14,150,25,2025-1-18,27
대동,2014,20.0,30,34,2025-1-11,12
대동,2013,20.0,30,17,2025-1-9,13
압량읍 부적리,2004,46.0,50,29,2025-1-24,22
압량읍 부적리,2017,23.0,500,23,2025-1-8,9
대동,2007,26.44,150,30,2025-1-10,19
압량읍 부적리,2016,25.5,200,30,2025-1-25,10
조영동,2003,25.894,100,29,2025-1-26,23
조영동,1999,27.0,200,30,2025-1-31,27
조영동,2010,28.2,100,30,2025-1-11,16
조영동,1998,20.0,30,30,2025-1-24,28
조영동,2014,19.82,100,27,2025-1-24,12
대동,2002,20.0,150,28,2025-1-24,24
조영동,2012,20.0,100,29,2025-1-18,14
조영동,0,25.0,200,30,2025-1-15,0
조영동,2015,20.0,150,28,2025-1-20,11
조영동,2016,20.0,200,29,2025-1-6,10
압량읍 부적리,2014,28.0,200,29,2025-1-18,12
조영동,2017,19.84,300,30,2025-1-23,9
대동,2011,21.0,100,25,2025-1-19,15
조영동,2000,20.0,100,29,2025-1-8,26
조영동,2019,27.0,50,27,2025-1-14,7
대동,2019,27.14,200,30,2025-1-20,7
압량읍 부적리,2014,51.1,7000,0,2025-1-20,12
대동,2011,20.0,200,40,2025-1-22,15
임당동,2003,20.0,300,29,2025-1-20,23
조영동,2015,25.0,200,29,2025-1-18,11
조영동,2002,23.95,70,23,2025-1-18,24
조영동,2013,20.0,100,30,2025-1-21,13
조영동,2001,27.0,100,30,2025-1-12,25
대동,2011,25.0,5000,0,2025-1-17,15
조영동,2012,26.0,200,36,2025-1-18,14
대동,2011,20.0,100,26,2025-1-12,15
조영동,2009,27.0,200,30,2025-1-17,17
압량읍 부적리,2020,99.17,2000,70,2025-1-17,6
대동,2015,24.2,200,28,2025-1-16,11
조영동,2018,27.0,200,30,2025-1-15,8
조영동,2011,60.0,100,27,2025-1-15,15
조영동,2018,24.0,300,40,2025-1-16,8
압량읍 부적리,2016,32.0,6000,0,2025-1-14,10
