건물명,주소,주용도,세대수,사용승인일,법정동,lat,lon,노후도
 ,경상북도 경산시 청운1로 53 (조영동),단독주택,0,20080806,조영동,35.8404222459503,128.755270236756,18
 ,경상북도 경산시 청운1로 54 (조영동),제2종근린생활시설,0,20200305,조영동,35.8401729349028,128.755317532296,6
 ,경상북도 경산시 청운1로 54-2 (조영동),단독주택,0,20200206,조영동,35.8402648796112,128.755407983975,6
 ,경상북도 경산시 둥지로 12-1 (조영동),단독주택,0,1931    ,조영동,35.8398935826561,128.755521316396,95
 ,경상북도 경산시 둥지로 12 (조영동),제2종근린생활시설,0,20031117,조영동,35.8398638427563,128.755558509932,23
 ,경상북도 경산시 둥지로 13 (조영동),제1종근린생활시설,0,20040414,조영동,35.8399461807211,128.75507913283,22
 ,경상북도 경산시 둥지로 13 (조영동),제2종근린생활시설,0,20040414,조영동,35.8399461807211,128.75507913283,22
 ,경상북도 경산시 둥지로 11-2 (조영동),단독주택,0,20140818,조영동,35.8398229947928,128.755054616624,12
 ,경상북도 경산시 청운1로 46 (조영동),제2종근린생활시설,0,20080918,조영동,35.8397625885611,128.754772959918,18
 ,경상북도 경산시 대학로61길 24-12 (조영동),제2종근린생활시설,0,20060202,조영동,35.8400835498497,128.75442256706,20
 ,경상북도 경산시 대학로61길 24-10 (조영동),단독주택,0,19950824,조영동,35.8400931908428,128.754286876749,31
 ,경상북도 경산시 청운1로 48 (조영동),단독주택,0,19871017,조영동,35.8397682332176,128.75496642382,39
조영동 261-5 단독주택 (석구암),경상북도 경산시 대학로61길 24-14 (조영동),단독주택,0,20120814,조영동,35.8400591309971,128.754570548175,14
 ,경상북도 경산시 청운1로 45-1 (조영동),제1종근린생활시설,0,20161007,조영동,35.8399127098894,128.754545078218,10
 ,경상북도 경산시 청운1로 45 (조영동),제2종근린생활시설,0,20080918,조영동,35.8399756071603,128.754699409295,18
 ,경상북도 경산시 청운1로 50 (조영동),제2종근린생활시설,0,20040426,조영동,35.8399654280849,128.755007621607,22
 ,경상북도 경산시 둥지로 16-1 (조영동),제1종근린생활시설,0,20040223,조영동,35.8400846566031,128.755198166111,22
 ,경상북도 경산시 둥지로 16 (조영동),제2종근린생활시설,0,20050901,조영동,35.8400227351543,128.755248484418,21
 ,경상북도 경산시 둥지로 17 (조영동),단독주택,0,20040130,조영동,35.8401151147523,128.75481569795,22
 ,경상북도 경산시 청운1로 49 (조영동),제1종근린생활시설,0,20030507,조영동,35.8402064357734,128.755047571594,23
 ,경상북도 경산시 둥지로 20 (조영동),제2종근린생활시설,0,20030731,조영동,35.8403689705009,128.754858254594,23
 ,경상북도 경산시 둥지로 19 (조영동),제2종근린생활시설,0,20040507,조영동,35.8402632689101,128.754660814319,22
