매물번호,보증금,월세,층,위도,경도,주소,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),지하철역_도보(분),노후도
47590689,100,29,2,35.8401896372752,128.755740881247,경상북도 경산시 조영동,507,141,37,142,1992,51,192,6,13
47590471,100,21,2,35.8374737169349,128.75181633051,경상북도 경산시 대동,163,253,67,153,1552,79,186,2,18
47590418,200,32,3,35.838730296104,128.755171531912,경상북도 경산시 조영동,343,89,34,58,1884,117,222,4,13
47589418,200,35,3,35.8382540618809,128.759581754762,경상북도 경산시 조영동,645,466,38,190,2247,37,208,8,9
47588727,100,28,2,35.8387298241828,128.752191231219,경상북도 경산시 대동,279,141,73,225,1633,56,241,3,15
47588628,150,26,1,35.8393894880839,128.752824713704,경상북도 경산시 조영동,346,76,69,239,1715,63,209,4,25
47588591,100,22,3,35.838747772566,128.757877639193,경상북도 경산시 조영동,529,307,137,64,2115,137,173,7,15
47587985,200,30,4,35.8382540618816,128.759581754762,경상북도 경산시 조영동,645,466,38,190,2247,37,208,8,9
47587958,200,25,3,35.8429280801082,128.755610114606,경상북도 경산시 조영동,780,151,76,377,2122,140,248,10,23
47587784,100,28,3,35.8400589135429,128.756077977503,경상북도 경산시 조영동,511,158,62,108,2014,51,184,6,12
47580373,200,25,1,35.8385426361364,128.750969103647,경상북도 경산시 대동,304,252,87,285,1524,70,307,4,13
47578802,100,25,3,35.8379795561608,128.758420107382,경상북도 경산시 조영동,536,381,73,155,2138,137,235,7,14
47578255,200,31,1,35.8398698692778,128.752121022971,경상북도 경산시 조영동,405,156,139,322,1681,46,206,5,27
47577645,300,37,2,35.8425554903905,128.759378184807,경상북도 경산시 압량읍 부적리,913,26,151,247,2400,106,67,11,10
47577569,150,27,3,35.8408197089065,128.755382805088,경상북도 경산시 조영동,554,92,45,202,1992,41,133,7,11
47577395,200,27,1,35.8389809379283,128.754144629484,경상북도 경산시 조영동,322,52,30,118,1807,63,222,4,24
47575928,100,17,2,35.8379467530967,128.759386611555,경상북도 경산시 조영동,617,463,21,201,2222,76,237,8,37
47575912,3500,0,3,35.8430564188446,128.75104597843594,경상북도 경산시 임당동,771,379,111,648,1793,95,103,10,18
47575892,150,32,2,35.8392444310931,128.751710960439,경상북도 경산시 대동,346,174,130,296,1617,45,280,4,17
47574867,300,32,4,35.8409652299403,128.755439023677,경상북도 경산시 조영동,571,78,55,207,2003,38,134,7,5
47574586,200,30,1,35.83965570725316,128.75239663753862,경상북도 경산시 조영동,378,123,108,288,1693,32,205,5,26
47571180,200,35,2,35.8405402920606,128.753542504211,경상북도 경산시 조영동,478,149,93,292,1829,127,65,6,26
47570984,100,30,2,35.8405315896811,128.754089246444,경상북도 경산시 조영동,486,137,57,272,1873,154,63,6,25
